release_year,decade_start_year,total_count_in_IMDB,top_1000_count,top_1000_rating_total,top_1000_average_rating,percentage_of_year_total,percentage_of_top_1000,top_1000_std_dev_ratings,top_10_count,top_20_count,top_50_count,top_100_count,top_250_count,top_500_count
2020,2020,8239,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2019,2010,11301,22,176.7,8.03,0.0019467303778426689,0.022,0.28185483632595454,0,1,2,6,10,17
2018,2010,11946,17,135.5,7.97,0.0014230704838439645,0.017,0.30440821253966155,0,0,1,4,6,10
2017,2010,11760,20,157.7,7.88,0.0017006802721088435,0.02,0.27253440149823294,0,0,1,2,5,10
2016,2010,11431,27,214.5000000000001,7.94,0.0023619980754089756,0.027,0.19309052441091967,0,0,0,2,7,17
2015,2010,10467,25,196.89999999999995,7.88,0.0023884589662749593,0.025,0.20450916849862738,0,0,0,0,7,13
2014,2010,9830,31,245.39999999999992,7.92,0.0031536113936927773,0.031,0.23975360227176823,0,0,2,2,10,16
2013,2010,9241,27,214.20000000000002,7.93,0.0029217617141002058,0.027,0.19999999999999987,0,0,0,1,8,14
2012,2010,8795,24,190.69999999999996,7.95,0.0027288231949971573,0.024,0.23801114586412875,0,0,0,3,9,13
2011,2010,8237,18,141.79999999999998,7.88,0.0021852616243778072,0.018,0.26988795114424713,0,0,1,2,6,8
2010,2010,7546,24,189.39999999999995,7.89,0.0031804929764113437,0.024,0.29427405971682646,1,1,1,3,6,10
2009,2000,7270,29,228.1,7.87,0.003988995873452545,0.029,0.22480008293802245,0,0,0,2,6,14
2008,2000,6382,22,174.09999999999997,7.91,0.0034471952366029457,0.022,0.3093915650043934,1,1,1,2,5,12
2007,2000,5673,29,227.69999999999996,7.85,0.005111933721135202,0.029,0.22068965517241382,0,0,0,1,6,13
2006,2000,5292,27,212.89999999999992,7.89,0.00510204081632653,0.027,0.2703957370139849,0,0,2,3,6,11
2005,2000,4969,19,149.29999999999998,7.86,0.003823706983296438,0.019,0.22317278996962303,0,0,0,1,4,7
2004,2000,4440,32,252.19999999999996,7.88,0.007207207207207207,0.032,0.2037730048362638,0,0,0,1,7,16
2003,2000,4168,24,190.19999999999993,7.92,0.005758157389635317,0.024,0.2890357532670772,1,1,1,2,6,13
2002,2000,4226,19,150.1,7.9,0.0044959772834831995,0.019,0.33403435058152475,0,1,3,3,4,5
2001,2000,4159,27,213.2999999999999,7.9,0.006491945179129598,0.027,0.30307070437746353,0,1,2,3,6,11
2000,2000,3936,20,158.79999999999998,7.94,0.00508130081300813,0.02,0.2745906043549197,0,0,1,4,7,8
1999,1990,3887,17,136.29999999999998,8.02,0.004373552868536146,0.017,0.3584858584751198,1,2,3,4,5,8
1998,1990,3749,17,134.79999999999998,7.93,0.004534542544678581,0.017,0.31392150739120783,0,0,2,2,7,9
1997,1990,3618,19,151.09999999999997,7.95,0.005251520176893312,0.019,0.28166501390020326,0,0,1,4,6,8
1996,1990,3507,10,79.0,7.9,0.00285143997718848,0.01,0.2190890230020665,0,0,0,1,2,5
1995,1990,3484,19,152.1,8.01,0.0054535017221584384,0.019,0.30860242556355894,0,0,2,2,6,12
1994,1990,3363,14,114.7,8.19,0.004162949747249479,0.014,0.5161177685571467,2,3,5,5,6,8
1993,1990,3500,22,173.7,7.9,0.006285714285714286,0.022,0.256687416427191,1,1,1,1,1,6
1992,1990,3603,12,94.10000000000001,7.84,0.0033305578684429643,0.012,0.21778557242286634,0,0,0,0,2,4
1991,1990,3679,11,87.5,7.95,0.002989942919271541,0.011,0.31727142484754806,0,0,2,2,2,5
1990,1990,3818,9,70.8,7.87,0.002357255107386066,0.009,0.3231786571610885,0,1,1,1,1,2
1989,1980,3683,12,93.99999999999997,7.83,0.00325821341297855,0.012,0.17950549357115014,0,0,0,0,1,2
1988,1980,3728,11,87.79999999999998,7.98,0.0029506437768240345,0.011,0.3185711903260951,0,0,2,2,4,6
1987,1980,3657,12,94.19999999999999,7.85,0.003281378178835111,0.012,0.20615528128088317,0,0,0,0,1,4
1986,1980,3541,10,79.09999999999998,7.91,0.002824060999717594,0.01,0.20223748416156698,0,0,0,0,1,4
1985,1980,3494,9,71.8,7.98,0.0025758443045220377,0.009,0.2698879511442471,0,0,1,1,3,3
1984,1980,3485,10,79.6,7.96,0.0028694404591104736,0.01,0.25768197453450276,0,0,0,1,2,5
1983,1980,3391,5,40.0,8.0,0.001474491300501327,0.005,0.25298221281347066,0,0,0,0,2,2
1982,1980,3361,12,94.8,7.9,0.0035703659625111574,0.012,0.19148542155126747,0,0,0,0,0,6
1981,1980,3329,4,31.900000000000006,7.98,0.0012015620306398318,0.004,0.3766629793329845,0,0,0,1,2,2
1980,1980,3333,8,64.7,8.09,0.0024002400240024004,0.008,0.3218598297395931,0,1,1,2,3,5
1979,1970,3421,12,95.19999999999999,7.93,0.0035077462730195848,0.012,0.28087165910587875,0,0,0,2,3,5
1978,1970,3242,6,46.800000000000004,7.8,0.001850709438618137,0.006,0.17320508075688779,0,0,0,0,0,1
1977,1970,3112,3,24.200000000000003,8.07,0.0009640102827763496,0.003,0.41096093353126506,0,0,1,1,1,2
1976,1970,3167,7,56.2,8.03,0.0022102936532996525,0.007,0.19794866372215741,0,0,0,0,2,5
1975,1970,3211,9,72.8,8.09,0.002802865151043289,0.009,0.2685121327465458,0,1,1,1,3,7
1974,1970,3211,6,48.400000000000006,8.07,0.0018685767673621925,0.006,0.4533823502911814,1,1,1,1,2,3
1973,1970,3307,11,86.79999999999998,7.89,0.003326277592984578,0.011,0.19284730395996766,0,0,0,0,1,4
1972,1970,3429,8,64.69999999999999,8.09,0.0023330417031204435,0.008,0.43999289766995076,1,1,1,1,1,4
1971,1970,3471,10,79.19999999999999,7.92,0.002881014116969173,0.01,0.30594117081556715,0,0,1,1,2,4
1970,1970,3578,3,23.5,7.83,0.0008384572386808273,0.003,0.1699673171197597,0,0,0,0,0,1
1969,1960,3514,3,23.7,7.9,0.0008537279453614115,0.003,0.08164965809277268,0,0,0,0,0,1
1968,1960,3400,8,64.0,8.0,0.002352941176470588,0.008,0.2598076211353316,0,0,1,1,2,4
1967,1960,3062,10,78.49999999999999,7.85,0.0032658393207054214,0.01,0.162788205960997,0,0,0,0,0,3
1966,1960,3012,7,56.400000000000006,8.06,0.0023240371845949536,0.007,0.3579989738897622,0,1,1,1,1,5
1965,1960,2972,5,39.6,7.92,0.0016823687752355316,0.005,0.24819347291981741,0,0,0,0,1,3
1964,1960,2671,7,55.00000000000001,7.86,0.002620741295394983,0.007,0.24989793835051302,0,0,0,1,1,2
1963,1960,2458,6,47.900000000000006,7.98,0.0024410089503661514,0.006,0.3023059524536175,0,0,0,1,2,3
1962,1960,2530,13,104.9,8.07,0.005138339920948616,0.013,0.246153846153846,0,1,1,1,3,9
1961,1960,2527,5,39.9,7.98,0.0019786307874950534,0.005,0.20396078054371106,0,0,0,0,2,3
1960,1960,2500,11,87.80000000000001,7.98,0.0044,0.011,0.24427325168262548,0,0,0,1,2,5
1959,1950,2416,7,56.6,8.09,0.0028973509933774835,0.007,0.1245399698154478,0,0,0,0,2,6
1958,1950,2386,4,32.4,8.1,0.0016764459346186086,0.004,0.12247448713915919,0,0,0,0,1,4
1957,1950,2293,9,74.5,8.28,0.0039249890972525075,0.009,0.24845199749997693,1,1,1,3,5,9
1956,1950,2228,5,39.0,7.8,0.002244165170556553,0.005,0.14142135623730964,0,0,0,0,0,1
1955,1950,2052,5,39.3,7.86,0.0024366471734892786,0.005,0.1356465996625053,0,0,0,0,0,2
1954,1950,1971,6,49.0,8.17,0.0030441400304414,0.006,0.28674417556808746,0,0,1,2,3,5
1953,1950,1923,5,39.9,7.98,0.0026001040041601664,0.005,0.20396078054371133,0,0,0,0,1,4
1952,1950,1872,4,32.2,8.05,0.002136752136752137,0.004,0.2598076211353318,0,0,0,0,2,2
1951,1950,1754,5,39.5,7.9,0.0028506271379703536,0.005,0.16733200530681494,0,0,0,0,0,3
1950,1950,1772,4,32.7,8.18,0.002257336343115124,0.004,0.17853571071357116,0,0,0,1,3,3
1949,1940,1680,3,24.2,8.07,0.0017857142857142857,0.003,0.047140452079103,0,0,0,0,0,3
1948,1940,1541,6,48.199999999999996,8.03,0.003893575600259572,0.006,0.18856180831641278,0,0,0,0,2,4
1947,1940,1406,2,15.9,7.95,0.001422475106685633,0.002,0.04999999999999982,0,0,0,0,0,1
1946,1940,1254,5,40.1,8.02,0.003987240829346092,0.005,0.3059411708155669,0,0,1,1,1,2
1945,1940,1058,2,15.9,7.95,0.001890359168241966,0.002,0.04999999999999982,0,0,0,0,0,1
1944,1940,1129,5,39.7,7.94,0.0044286979627989375,0.005,0.23323807579381237,0,0,0,0,1,3
1943,1940,1274,1,7.8,7.8,0.0007849293563579278,0.001,0.0,0,0,0,0,0,0
1942,1940,1397,2,16.7,8.35,0.0014316392269148174,0.002,0.15000000000000036,0,0,0,1,2,2
1941,1940,1475,2,16.3,8.15,0.0013559322033898306,0.002,0.15000000000000036,0,0,0,0,1,2
1940,1940,1700,7,56.199999999999996,8.03,0.00411764705882353,0.007,0.1829464067837957,0,0,0,1,1,4
1939,1930,1784,5,40.1,8.02,0.002802690582959641,0.005,0.07483314773547856,0,0,0,0,0,4
1938,1930,1906,3,23.6,7.87,0.0015739769150052466,0.003,0.047140452079103425,0,0,0,0,0,0
1937,1930,1919,2,15.7,7.85,0.0010422094841063053,0.002,0.25,0,0,0,0,0,1
1936,1930,1992,1,8.5,8.5,0.000502008032128514,0.001,0.0,0,0,0,1,1,1
1935,1930,1872,3,23.299999999999997,7.77,0.0016025641025641025,0.003,0.12472191289246498,0,0,0,0,0,0
1934,1930,1833,2,16.1,8.05,0.0010911074740861974,0.002,0.04999999999999982,0,0,0,0,0,2
1933,1930,1756,3,23.4,7.8,0.0017084282460136675,0.003,0.08164965809277268,0,0,0,0,0,0
1932,1930,1844,1,7.9,7.9,0.0005422993492407809,0.001,0.0,0,0,0,0,0,0
1931,1930,1975,3,24.6,8.2,0.0015189873417721519,0.003,0.2943920288775951,0,0,0,1,2,2
1930,1930,1844,1,8.0,8.0,0.0005422993492407809,0.001,0.0,0,0,0,0,0,1
1929,1920,1910,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1928,1920,2026,2,16.299999999999997,8.15,0.0009871668311944718,0.002,0.04999999999999982,0,0,0,0,1,2
1927,1920,2023,2,16.4,8.2,0.0009886307464162135,0.002,0.10000000000000053,0,0,0,0,1,2
1926,1920,1950,1,8.1,8.1,0.0005128205128205128,0.001,0.0,0,0,0,0,0,1
1925,1920,1975,2,16.2,8.1,0.0010126582278481013,0.002,0.09999999999999964,0,0,0,0,1,2
1924,1920,1885,1,8.2,8.2,0.0005305039787798408,0.001,0.0,0,0,0,0,1,1
1923,1920,1816,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1922,1920,2133,1,7.9,7.9,0.00046882325363338024,0.001,0.0,0,0,0,0,0,0
1921,1920,2542,1,8.3,8.3,0.0003933910306845004,0.001,0.0,0,0,0,0,1,1
1920,1920,2580,1,8.1,8.1,0.0003875968992248062,0.001,0.0,0,0,0,0,0,1
1919,1910,2364,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1918,1910,2173,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1917,1910,2158,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1916,1910,2052,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1915,1910,1582,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1914,1910,1099,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1913,1910,660,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1912,1910,334,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1911,1910,158,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1910,1910,85,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1909,1900,80,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1908,1900,21,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1907,1900,13,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1906,1900,14,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1905,1900,8,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1904,1900,5,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
